date,open,high,low,close,volume
06/05/2014,78.33,78.39,77.965,78.01,5638910
07/05/2014,77.85,78.099,77.53,77.96,6086214
08/05/2014,78,78.83,78,78.69,4820639
09/05/2014,78.52,79.28,78.52,79.2,4896368
12/05/2014,78.95,79.23,78.65,79.15,5999823
13/05/2014,79.17,79.37,78.99,79.14,4363735
14/05/2014,79.05,79.05,78.07,78.74,5608286
15/05/2014,76.28,77.44,76.25,76.83,13035789
16/05/2014,77,77.38,76.65,77.01,7244131
19/05/2014,77.11,77.13,76.5,76.61,6131274
20/05/2014,76.36,76.37,75.52,75.69,7441355
21/05/2014,75.94,75.96,75.27,75.66,5704092
22/05/2014,75.79,75.921,75.24,75.39,5243663
23/05/2014,75.56,75.75,75.43,75.61,3703626
27/05/2014,75.71,75.81,75.29,75.59,5379301
28/05/2014,75.38,75.94,75.34,75.53,5036879
29/05/2014,75.67,76.19,75.57,75.98,4003511
30/05/2014,76.06,76.81,76.01,76.77,5974016
02/06/2014,76.58,77.11,76.47,76.76,4395340
03/06/2014,76.74,76.97,76.36,76.71,7213733
04/06/2014,76.6,77.3,76.53,77.13,6199894
05/06/2014,77.05,77.44,76.87,77.32,4695821
06/06/2014,77.46,77.59,77.07,77.21,4195073
09/06/2014,77.07,77.76,76.7,77.01,5552326
10/06/2014,76.81,76.94,76.5148,76.62,3365665
11/06/2014,76.55,76.74,76.05,76.16,4463301
12/06/2014,76.05,76.19,75.58,75.73,5336596
13/06/2014,75.67,75.76,75.12,75.28,4981452
16/06/2014,75.11,75.48,75.02,75.34,3846878
17/06/2014,75.29,75.42,74.915,74.99,6544215
18/06/2014,75.04,75.96,74.92,75.7,6740696
19/06/2014,75.88,76.28,75.8,75.87,5255313
20/06/2014,76.16,76.17,75.12,75.68,11335802
23/06/2014,75.56,75.94,75.3,75.79,4276034
24/06/2014,76.03,76.21,75.6849,75.97,5659196
25/06/2014,75.76,75.84,75.28,75.62,4318156
26/06/2014,75.52,75.61,74.7,74.91,6922337
27/06/2014,74.8,75.38,74.67,75.34,13960847
30/06/2014,75.395,75.69,74.94,75.07,6666648
01/07/2014,75.27,75.42,74.75,75.28,6604504
